review,date,rating
Disgusting Hotel !! I do not recommend! DIRTY DUST EVERYWHERE| OLD FURTHERING| PARKING FEE PER DAY . This is unbelievable PRICE IS RIDICULOUS AS WELL $200 for 1 NIGHT ! Disgusting,Aug 17| 2021,1
Hotel was in very bad condition.  Old decor to include old wood paneling with glitter and popcorn ceilings.  The bathtub was painted yellow (years ago I’m sure) and the paint was chipping.  It also over flowed when we showered.  The bed was a little comfy even with the 1980’s leather headboard but other than that it was not a good stay.,Aug 16| 2021,2
Stay for a night,Aug 15| 2021,5
First of all you have an option to park in the lot or garage but dont expect to find a spot in either. After circling around for over 30 minutes i found a spot on the 3rd floor of the garage only to learn there is no elevator so carrying heavy luggage down stairs and in the rain for $24 is just ridiculous.  The bathrooms were gross and need to be updated in the wost way| you know its bad when you feel dirty after a shower because there is mold everywhere...Lastly the AC didn't work and the front desk was unhelpful as well as unsympathetic.,Aug 9| 2021,1
Staff was extra friendly when i checked in even upgraded my room,Aug 9| 2021,5
We had an amazing stay the staff was very friendly and helpful.,Aug 7| 2021,5
I spent 3 night here Mgmt telling me there is no housekeeping? I speak to house keeping they said yes they do housekeeping. No pool the whole weekend. No refrigerator in room furniture and walls with dents in them all over this is hilton and it looks like Filton?  Prices of foood was expensive and laundromats was a maze to find and in the gym ?,Aug 4| 2021,1
I like everything service room clean room,Aug 3| 2021,5
The property advertised that it had an indoor pool| i specifically booked this hotel so I could entertain my 2 children the evening before an early morning flight.  Upon attempting to enter the pool I discovered it was locked.  I inquired at the front desk and they told me it had been closed for months.  The front desk staff was rude when I expressed my disappointment.,Aug 3| 2021,2
Convenient to airport| shuttle to airport gets very crowded in the a.m. May want to run 2 during oeak hours. Almost wasn't able to board.Room abit unclean but manageable,Aug 3| 2021,4
I loved!,Aug 2| 2021,5
Only one elevator seemed to work. No internet at all. No explanations for anything,Aug 2| 2021,3
Location and convenience of the shuttles,Jul 27| 2021,4
Good stay,Jul 27| 2021,4
Professional| expedient| courteous.,Jul 26| 2021,5
DO NOT STAY HERE !!!!! Warning !!!!! I had a 4 day stay at this place snd I absolutely hated it. I only stayed because I hate moving around place to place. For one I contacted this hotel about pool availability which they confirmed the indoor pool was open. When I got to the place it was closed. They misinformed me with this information. i wouldn't have booked with this hotel if that was the case. 200.00 with no amenities. Secondly whenever I used the bathroom and flushed the toilet| it would make a very loud ringing noise for about 5 minutes. I let the front desk know about this several times and there were no resolutions towards it. Housekeeping came into my room unannounced not even a knock and when I told them they were invading my privacy and to never do that again they told me| "they are the manager" like that made a difference. Lastly| Today I was in my room my daughter and I just got out the shower when a white older man came into my hotel room with a fob saying it was his room. He was very apologetic and very disappointed in the hotel and so was I for putting my safety in Jeopardy that way. You don't know what that could've turned into. When I gave them the information they took it and didn't apologize at all. Instead they denied what happened to me and told me they don't do things like that. I am so disgusted in this hotel and I WANT A REFUND ! You all are very greedy people.,Jul 25| 2021,1
Dining facility menu limited,Jul 25| 2021,5
It was a little hard to locate because of unknown roads.  Parking expensive and always full.,Jul 23| 2021,5
Convenient to the airport and overall very nice facility,Jul 22| 2021,5
Wonderful!!,Jul 22| 2021,5
It’s a good option.,Jul 21| 2021,4
The hotel lives up to Hilton standards and there were no issues upon check-in. A mistaken charge to my CC was easily taken care of by a customer service rep. Shuttle service needs a tune-up. We waited nearly 40 minutes for pick-up and when you call the hotel it's a recording stating "shuttle runs every 20 minutes.",Jul 20| 2021,4
It was nice. Outside the city but not far from New York at all,Jul 19| 2021,4
They had a room for me because the place I booking had no rooms and you bozos did tell me!,Jul 19| 2021,1
Every one was very helpful,Jul 18| 2021,5
Room was very clean and quiet.  Bathroom somewhat dated and very tight space wise.  Food served at restaurant was poor.  Breakfast omelette was terrible.  Parking garage is dark and shabby looking.  Not quite a Hilton experience.,Jul 17| 2021,3
Carpet was dirty full of lint and strings| as if it had nit been vaccuumed Bathroom there weren't any amenities. It wasn't dirty,Jul 16| 2021,4
Great overnight spot,Jul 14| 2021,4
Very convenient,Jul 13| 2021,5
Very few amenities provided. Basically just got a few bars of soap. No toothbrushes| etc,Jul 12| 2021,5
About to by covid-19 standards. Dinner was good transport to the airport was timely. For what I wanted was good,Jul 10| 2021,5
I didn't like that parking was charged separately,Jul 7| 2021,4
Shuttle service was horrible,Jul 6| 2021,3
Easy access to airport,Jul 6| 2021,4
Very relaxing short getaway. Clean comfortable safe environment. Friendly staff. Could not as for more on a basic level. Very comfortable beds.,Jul 4| 2021,5
Very busy place. Not much staff around to ask questions. Clean| quiet| convenient.,Jul 2| 2021,4
Convenient to airport with shuttle| with large clean and quiet room. Bed and linens 5-star.,Jul 2| 2021,5
Bed very comfortable.Staff very professional and pleasant.  No microwave or refrigerator. Parking is $24. and $18,Jul 2| 2021,4
The pool was closed and I was there for a full week.,Jul 2| 2021,3
Very convenient CleanProfessional,Jul 1| 2021,5
The smoke detector was chirping all night.,Jun 30| 2021,3
The staff was friendly and helpful. Seamless check in and checkout.,Jun 30| 2021,5
super clean. the resterant was great. BIG helpings and delicious. very helpful. quick and easy in and out with the shuttle.perfect for the for my two kids too.,Jun 30| 2021,5
Old worn out. One of four elevators work causing crowded elevators with long waits.,Jun 29| 2021,2
Why in the world was parking $24? And this wasn’t per day but every time you used the garage parking? I even asked one of the staff if there was separate fee for hotel guests but I was told there wasn’t. Seriously? $24 per use?? That’s absurdly high,Jun 29| 2021,4
Needs updating and more parking,Jun 27| 2021,4
It was great and relaxing.,Jun 27| 2021,5
Very nice hotel,Jun 26| 2021,5
Convenience/proximity to airport was primary reason for staying here.  Did not use any of the amenities.  Hotel itself was nice and clean and staff were friendly.  Shuttle to airport was not the greatest| but it worked out fine.,Jun 25| 2021,4
reasonable quality,Jun 24| 2021,4
Check in was nice ..fast and made sure i was great,Jun 22| 2021,5
Great Service,Jun 22| 2021,5
awesome stay,Jun 22| 2021,5
I choose this room for its amenities. None where actually available| I was not made aware until AFTER a deposit was taken.,Jun 22| 2021,1
old and very dated facility: the bathroom is dated with only shower curtain; no exhaust fan in the bathroom at all; the a/c control is not functioning in the room; parking is always full to the capacity.,Jun 20| 2021,1
We felt safe at this hotel. It was close to the airport for shuttle and for car rentals. The room was adequate and beds comfortable for sleeping. The accommodations met our needs. The hotel is in need of some sprucing up in some areas. We checked out the bar and drinks were expensive for a cocktail snd draft beer. Hotel has a restaurant and Starbucks coffee is brewed. We chose this due to better reviews than other places nearby.,Jun 20| 2021,4
Everything was great housekeeping was very nice & the bartender at the restaurant downstairs made me feel at home.,Jun 20| 2021,5
My 5 yr old son and I enjoyed our one night stay here while visiting family that live in Kearny. I paid the extra 10$ or so dollars for the view of NYC.  My son loves the buildings and seeing airplanes| but I will say that the room we got is on the side of the hotel.  So| there’s literally barely a city view.  This one shouldn’t be consider,Jun 20| 2021,4
Great service| condition & comfortable,Jun 19| 2021,5
Great service and continued communication!,Jun 19| 2021,5
xx,Jun 18| 2021,4
Excellent office set-up in room| although surfaces were slightly worn; good bed and soft pillows; walk-in accessible shower (I'm not handicapped but it was easier than more common bath tub designs). Space around sink was too small to be functional| however.,Jun 17| 2021,4
Water damage in bathroom ceiling; fluffy| thirsty towels| nice water pressure.,Jun 17| 2021,5
Comfort| but not near anything to walk to|ie shop or restaurant,Jun 16| 2021,5
We needed a place to stay because we missed our flight. So for that it was perfect! If we had planned a stay in this area for vacation I would suggest finding a location that has more around it.,Jun 13| 2021,3
Melissa at the front desk and Raul as a server were great! Very friendly| polite| and acceptable!,Jun 12| 2021,4
Everything!,Jun 11| 2021,5
Everything was good,Jun 11| 2021,5
Parking fees to costly | not so clean . Lack of Valet's services .,Jun 7| 2021,4
ok,Jun 6| 2021,4
I didn't like the noise. People were loud until 3am and in the morning too.,Jun 6| 2021,4
Noise all night.,May 31| 2021,2
Nice hotel| didn't know about paid parking until I got there and I didn't get my deposit back that I was told I would once I checked out.,May 26| 2021,3
Close to the airports,May 22| 2021,4
Proximity to airport|  the shuttle service to and from airport was nice even thiugh there was a lot of crowed. The drivers managed to calm everyone and letting them know there is more buses coming.,May 19| 2021,5
The Property itself was decent.  Nice bar/restaurant area.  The Parking was expensive.  The staff was not helpful and seemed overwhelmed.  WiFi did not work.  The beds were Not comfortable.  The cleaning staff was very good.  limited channels on TV.  Will not stay here again.,May 16| 2021,2
Nothing,May 16| 2021,5
Parking is very convenient to the airport. Nice staff.,May 14| 2021,5
Old but greatly maintained place. Nice and clrean. The rooms are carpeted but no smell.,May 14| 2021,5
The room was very dusty and dirty,May 11| 2021,3
I like the view of the room on my floor the carpet smell like milk I am in my room the sink the water did not run out of my sink fast enough,May 10| 2021,3
This large hotel is conveniently located next to Newark Airport and is perfect for an overnight stay for an early morning flight or for a missed connection. I arrived at 9pm and was surprised that the outside parking garage was full and was directed to a spot on the street which I was still billed $18 for. The rooms have been mostly remodeled with the exception of the shower and bathroom door which looked original...odd that they didn't do it all...my room was on the top floor and behind the elevator but I was not bothered by any noise...with the exception of the alarm clock going off at 4:30am (don't they check these)...in the morning I enjoyed the convenience of the Starbucks in the lobby...overall a good value| clean and great location to the airport...,May 9| 2021,4
No indication when booking that there was no parking for guests. In a bad neighborhood with no real dining around. Despite booking the room all guest must pay $18-30 to park overnight. With that| the lot is full and it takes an hour to find parking. I’d suggest one business.....hotel that accommodates its guests and provides parking. I mean I didn’t walk there. I was there to drop off. Instead they have a second business extorting people with parking fees. Should definitely indicate there is no parking; parking next door for a fee. Then of course inform people what that fee is.,May 7| 2021,2
Bar did not stay open long enough,May 7| 2021,5
Hiltons system is not in sync with expedia. i had to wait for 2hours before my room was confirmed,May 5| 2021,1
The loud group in the next room didn’t quiet down till after 2am. I needed to catch the 5am shuttle to the airport so not well rested to travel. My shower had long black hairs on the walls and being a blonde I was sorely disappointed.,May 5| 2021,2
Overall okay. In-room amenities were sparse. Text message after check-in was friendly. Contactless check out was easy! Only complaint is the parking garage. Overly expensive and the ticket reader at the exit is poorly set up and did not work.,May 1| 2021,4
I didnt like that I had to pay for parking,Apr 29| 2021,4
Convenient to the airport| clean and comfortable!,Apr 26| 2021,5
Room was clean and quiet.  Food was so amazing along with service.   I strongly reccomend.,Apr 24| 2021,5
Room was said to be sanitized and cleaned. It was filthy. Hair and stains on the furniture. Not what I expect from Hilton,Apr 24| 2021,2
Clean| large rooms| close to airport. No issues. Staff was very well trained and knowledgeable,Apr 19| 2021,5
The beds were clean| but the bathroom was pretty gross for a Hilton.,Apr 18| 2021,3
Must have the loud floor because both kids and parents were slamming doors| talking extremely loud in the hallways all hours if the night and their kids were running up and Finn the hallway continuously all night. Never going back,Apr 17| 2021,2
I woke up to a distant view of NYC and loved it. The shop was a tad smaller than I thought and was not a fan of the "community" microwave. The bed is amazing (my loking). Had a burger from the bar| I didn't mind the price but it was big enough to feed 2. I was here for only 1 night (12hr layover to Savannah) but overall very pleased.,Apr 16| 2021,5
Not able to shower broken bathroom pipe,Apr 13| 2021,1
Mala atención muy caro para ni desayuno abundante y caro malo todo fue de muy mala calidad comparado con los mas baratos moteles este fue el pegor,Apr 12| 2021,3
Bathroom was old and felt like dirty. Shower had was not working properly.,Apr 4| 2021,2
Room was not very clean. Sheets were not cleaned.,Apr 3| 2021,2
Seamless checkin and easy reminders helped my trip.,Mar 28| 2021,5
Charges kept coming to my card. I used nothing from them but the beds.,Mar 22| 2021,1
Did not meet Hilton standards. Had a non smoking room but my room smelled like cigarettes. Could have spent less elsewhere and had a much better stay.,Mar 16| 2021,2
I stayed overnight for a flight. The hotel provided good service and value,Mar 6| 2021,4
My towels and wash rags smelled like marijuanna. The bathroom sink had mold around the rim. And the hallaways smelled like smoke everyday and there was garabage on the floor everyday as well.,Mar 5| 2021,2
The only thing I wasn’t happy with in the early morning there were not enough transport to the airport for the 6am flight taking in consideration that they need to take the flight crew first.  There should be at least 3 vans going at that time|,Mar 5| 2021,5
noting crazy just nice spot to get to your flight the next day and sum what cheap i guess it works for were its at,Feb 25| 2021,5
Nice stay no complaints conveniently located next to airport,Feb 23| 2021,5
Pros: Convenient| took extra care to drop of guests in airport in shuttles. Cons: Rooms are pretty basic| comparable to an inn.Amenities are pretty basic too: The coffee machine was dusty and was oozing black sediments when I ran it with water| even after 2-3 runs! Restaurant  is expensive for just take out. And there is no other options nearby.,Feb 22| 2021,3
Great place. I really enjoyed my time there. Very clean and not too loud.,Feb 21| 2021,5
Everything over was great ! Staff was great . The parking lot for leaving your cars for the week could have had spaced plowed a little better as some spots were still filled with snow . Overall great stay | stayed 2/5 and 2/13 .. I actually had same room both times..,Feb 20| 2021,5
Check in was easy ! Room was clean.,Feb 17| 2021,5
Great front desk managerCouldn’t be more helpful J,Feb 17| 2021,4
Place was truly amazing loved every bit of it and the VIEW was beautiful,Feb 15| 2021,5
The room was unclean I woke up with rashes all over,Feb 8| 2021,1
Hotel was nice| room was nice| but you could tell the room wasn’t properly cleaned. I needed to go over everything with bleach wipes again. The bathtub was clogged as well.,Feb 7| 2021,3
The place was good rooms was clean and safety requirements were been followed,Feb 2| 2021,5
clean and nice but it wasn't mentioned on the website that parking and breakfast is extra charge,Jan 18| 2021,5
I’m a Hilton Honors mbr but was not able to add my # to this reservation because “I booked through a 3rd party.”   I have added my # to many other Hilton reservations as well as Hampton Inn reservations without issue but this Hilton would not allow.  The Hampton Inns I stayed at on this road trip were in much better condition and I apologized to my daughter who has not stayed at a Hilton before for the lower than expected quality Hilton is known for.,Jan 16| 2021,3
It was a nice hotel spacious room but I wish the pool was open has a nice fitness center,Jan 14| 2021,4
Is a good hotel but should let people know before hand that they need to pay for parking otherwise it was an excellent spot .,Jan 3| 2021,5
Loved the hotel| was very clean and staff was very friendly. The room was nice and big on inside. Will stay again when I’m in NJ,Nov 28| 2020,5
The staff needs to work on cleanliness| too much dust all over the hotel room| the excuse of C-19 is getting old| looks to me that they haven't vacuum the room in a month| the dust was so bad that I was able to see it on my clothing| very awful experience.,Nov 26| 2020,3
Very good! The guy at front desk was very helpful Rene!,Nov 6| 2020,5
This is a dated property. I felt the need to wipe my room down after finding used chewing gum on the side table. I notifies the front seat and management was understanding to my concern. The microwave is down stairs which was a major inconvenience. No hair dryer in the room. All the staff was really nice and the restaurant downstairs was very good. Also| there is no continental breakfast of any kind.,Oct 19| 2020,3
My stay was good however the staff at the Starbucks needs to be better trained.,Oct 19| 2020,4
They kicked me because they said we was smoking when we weren’t,Oct 13| 2020,1
Clean and neat the ewr airport| staff are courteous and clean,Oct 6| 2020,4
Loved it!! Had a very nice time there with my fiancé,Oct 5| 2020,5
Free breakfast would have been great.  Checkin was smooth.  Simple.  Very courteous and helpful.  Great customer service,Sep 26| 2020,5
Horrible | do not book here. Hallways smells like smoke and dirty .  Room wasn’t clean either,Sep 23| 2020,1
The Room was fine . The shuttle was great. The people were very nice.,Sep 22| 2020,4
Awsome people and clean place,Sep 16| 2020,5
Very friendly staff. Great staff & very comfortable bed.,Sep 14| 2020,5
I had left my $300. Bose headphones in hotel room | after a day i called hotel and asked and they said | they havent found anything| Feels like this hotel is not trustworthy.,Sep 3| 2020,1
Very poor condition| not refrigerator in the room. Not courtesy water| not free parking| not breakfast| very negative impression with the main desk personnel. In the room everything is old including bed | bed feel uncomfortable. Not service to take you  luggage to the room. Hotel is out condition to be in the market for consideration to stay even one night..,Aug 28| 2020,1
My fiancé and I arrived at the Hilton for a 1 day stay due to a funeral in New York. It was cheaper to  fly into Newark| NJ. The hotel was clean| beds were comfortable| and the staff was professional.  It appeared that the hotel can use more front desk clerks| I only saw one.Overall| I would stay again as it is very close to the airport| has a shuttle and its clean!,Aug 20| 2020,4
My flight arrived in Newark at 10:30PM. It cost me about 1 hour in waiting for the shuttle bus.I only find a piece of bar soap in my room. Usually| most of the hotels will give at least 2 pieces or more to the customers.,Aug 17| 2020,3
The staff was very helpful and friendly. Is very closet to the airport,Aug 3| 2020,5
was pretty much clean| very noisy till 2am people were listening to music and can be heard to other rooms| must be non smoking floor but entire floor smelled from people smoking| otherwise staff was helpull with some stuff,Jul 26| 2020,3
Excellent room great service | will be back soon as ASAP,Jul 21| 2020,5
Wait wasn’t too long. Great location,Jul 20| 2020,4
The hotel is old and disheveled.,Jul 6| 2020,3
Property was dated and in need of a major renovation,Jun 30| 2020,2
Very good,Jun 24| 2020,5
It was a pleasant stay very clean and quiet and nice,Jun 14| 2020,5
I enjoyed my stay it was just over night but it was so comfortable and peaceful and very much sanitized and clean,Jun 13| 2020,5
Was advised there was a pool and poool was not accessible,Jun 3| 2020,1
had to change my room | because I had a handicap styled bathroom and I had two babies so I needed a tub. The other room I changed to was dusty.I had to wipe down my headboard and the desk because they were extremely dusty.I also had low water pressure| that took maintenance over an half hour to fix. Other than that it was ok.,May 20| 2020,3
SO very helpful and accommodating during the pandemic crisis| couldn't have been nicer!,May 15| 2020,5
It was a pleasant stay very clean and quiet and nice,Jun 14| 2020,5
I enjoyed my stay it was just over night but it was so comfortable and peaceful and very much sanitized and clean,Jun 13| 2020,5
Was advised there was a pool and poool was not accessible,Jun 3| 2020,1
had to change my room | because I had a handicap styled bathroom and I had two babies so I needed a tub. The other room I changed to was dusty.I had to wipe down my headboard and the desk because they were extremely dusty.I also had low water pressure| that took maintenance over an half hour to fix. Other than that it was ok.,May 20| 2020,3
SO very helpful and accommodating during the pandemic crisis| couldn't have been nicer!,May 15| 2020,5
