text,label
Close to the airport makes traveling easy.  Staff was friendly.,1
Disgusting Hotel !! I do not recommend! DIRTY DUST EVERYWHERE| OLD FURTHERING| PARKING FEE PER DAY . This is unbelievable PRICE IS RIDICULOUS AS WELL $200 for 1 NIGHT ! Disgusting,0
Hotel was in very bad condition.  Old decor to include old wood paneling with glitter and popcorn ceilings.  The bathtub was painted yellow (years ago I'm sure) and the paint was chipping.  It also over flowed when we showered.  The bed was a little comfy even with the 1980's leather headboard but other than that it was not a good stay.,0
Stay for a night,1
First of all you have an option to park in the lot or garage but dont expect to find a spot in either. After circling around for over 30 minutes i found a spot on the 3rd floor of the garage only to learn there is no elevator so carrying heavy luggage down stairs and in the rain for $24 is just ridiculous.  The bathrooms were gross and need to be updated in the wost way| you know its bad when you feel dirty after a shower because there is mold everywhere...Lastly the AC didn't work and the front desk was unhelpful as well as unsympathetic.,0
Staff was extra friendly when i checked in even upgraded my room,1
We had an amazing stay the staff was very friendly and helpful.,1
I spent 3 night here Mgmt telling me there is no housekeeping? I speak to house keeping they said yes they do housekeeping. No pool the whole weekend. No refrigerator in room furniture and walls with dents in them all over this is hilton and it looks like Filton?  Prices of foood was expensive and laundromats was a maze to find and in the gym ?,0
I like everything service room clean room,1
The property advertised that it had an indoor pool| i specifically booked this hotel so I could entertain my 2 children the evening before an early morning flight.  Upon attempting to enter the pool I discovered it was locked.  I inquired at the front desk and they told me it had been closed for months.  The front desk staff was rude when I expressed my disappointment.,0
Convenient to airport| shuttle to airport gets very crowded in the a.m. May want to run 2 during oeak hours. Almost wasn't able to board.Room abit unclean but manageable,1
Location and convenience of the shuttles,1
I didn't like that parking was charged separately,1
Easy access to airport,1
Very relaxing short getaway. Clean comfortable safe environment. Friendly staff. Could not as for more on a basic level. Very comfortable beds.,1
Very busy place. Not much staff around to ask questions. Clean| quiet| convenient.,1
Convenient to airport with shuttle| with large clean and quiet room. Bed and linens 5-star.,1
Bed very comfortable.Staff very professional and pleasant.  No microwave or refrigerator. Parking is $24. and $18,1
Convenience/proximity to airport was primary reason for staying here.  Did not use any of the amenities.  Hotel itself was nice and clean and staff were friendly.  Shuttle to airport was not the greatest| but it worked out fine.,1
Check in was nice ..fast and made sure i was great,1
Great Service,1
I choose this room for its amenities. None where actually available| I was not made aware until AFTER a deposit was taken.,0
old and very dated facility: the bathroom is dated with only shower curtain; no exhaust fan in the bathroom at all; the a/c control is not functioning in the room; parking is always full to the capacity.,0
We felt safe at this hotel. It was close to the airport for shuttle and for car rentals. The room was adequate and beds comfortable for sleeping. The accommodations met our needs. The hotel is in need of some sprucing up in some areas. We checked out the bar and drinks were expensive for a cocktail snd draft beer. Hotel has a restaurant and Starbucks coffee is brewed. We chose this due to better reviews than other places nearby.,1
Everything was great housekeeping was very nice & the bartender at the restaurant downstairs made me feel at home.,1
Melissa at the front desk and Raul as a server were great! Very friendly| polite| and acceptable!,1
Everything!,1
Everything was good,1
Parking fees to costly | not so clean . Lack of Valet's services .,1
I didn't like the noise. People were loud until 3am and in the morning too.,1
Proximity to airport|  the shuttle service to and from airport was nice even thiugh there was a lot of crowed. The drivers managed to calm everyone and letting them know there is more buses coming.,1
The Property itself was decent.  Nice bar/restaurant area.  The Parking was expensive.  The staff was not helpful and seemed overwhelmed.  WiFi did not work.  The beds were Not comfortable.  The cleaning staff was very good.  limited channels on TV.  Will not stay here again.,0
Nothing,1
Parking is very convenient to the airport. Nice staff.,1
Hiltons system is not in sync with expedia. i had to wait for 2hours before my room was confirmed,0
The loud group in the next room didn't quiet down till after 2am. I needed to catch the 5am shuttle to the airport so not well rested to travel. My shower had long black hairs on the walls and being a blonde I was sorely disappointed.,0
Overall okay. In-room amenities were sparse. Text message after check-in was friendly. Contactless check out was easy! Only complaint is the parking garage. Overly expensive and the ticket reader at the exit is poorly set up and did not work.,1
I didnt like that I had to pay for parking,1
Bar did not stay open long enough,1
Must have the loud floor because both kids and parents were slamming doors| talking extremely loud in the hallways all hours if the night and their kids were running up and Finn the hallway continuously all night. Never going back,0
"I woke up to a distant view of NYC and loved it. The shop was a tad smaller than I thought and was not a fan of the ""community"" microwave. The bed is amazing (my loking). Had a burger from the bar| I didn't mind the price but it was big enough to feed 2. I was here for only 1 night (12hr layover to Savannah) but overall very pleased.",1
Not able to shower broken bathroom pipe,0
Bathroom was old and felt like dirty. Shower had was not working properly.,0
Did not meet Hilton standards. Had a non smoking room but my room smelled like cigarettes. Could have spent less elsewhere and had a much better stay.,0
I stayed overnight for a flight. The hotel provided good service and value,1
Check in was easy ! Room was clean.,1
Great front desk managerCouldn't be more helpful J,1
Place was truly amazing loved every bit of it and the VIEW was beautiful,1
The room was unclean I woke up with rashes all over,0
Is a good hotel but should let people know before hand that they need to pay for parking otherwise it was an excellent spot .,1
Loved the hotel| was very clean and staff was very friendly. The room was nice and big on inside. Will stay again when I'm in NJ,1
Clean and neat the ewr airport| staff are courteous and clean,1
Loved it!! Had a very nice time there with my fiancé,1
Free breakfast would have been great.  Checkin was smooth.  Simple.  Very courteous and helpful.  Great customer service,1
Horrible | do not book here. Hallways smells like smoke and dirty .  Room wasn't clean either,0
The Room was fine . The shuttle was great. The people were very nice.,1
Excellent room great service | will be back soon as ASAP,1
Wait wasn't too long. Great location,1
Property was dated and in need of a major renovation,0
SO very helpful and accommodating during the pandemic crisis| couldn't have been nicer!,1
Nice place to stay for a couple days| relaxing. Definitely recommend...,1
Pretty good y'all need to upgrade ur TVs to smart TVs every other hotel has them,1
The Bedding was amazing.  Most comfortable mattress and pillows.  So much so| that I would love to know what type of mattress this is and what type of pillows they use so I can duplicate in my home.,1
Amazing stay! Beautiful hotel ana awesome customer service. The only dislike was no hot tub and very slippery tiles around pool.,1
The beds are SO comfortable.  It's an older property| but well maintained.,1
Staff where very helpful and friendly. Room was comfortable and the cleaning staff for room 417 on my visits where amazing. They could not do enough for me.,1
Terrible you have to pay for the parking additional and we don't have breakfast| I am well diagnosed with the reservation here at E Hilton hotel| a hotel with prestige and the service so bad and the people who are in the reception of the worst I definitely do NOT recommend it to anyone,0
Location is between 2 major highways. Very noisy outside.,1
Staff was super amazing from the minute we walked in. Rooms were super clean. Everything was great except parking. But overall Very happy with our stay,1
Room was clean| however there was no place to purchase a drink after we returned from a concert. We assumed there would be a vending machine| however none was found.,1
Very clean and comfortable beds! Front desk service was amazing!,1
I liked how clean everything was. The staff at the front desk were very nice and helpful.,1
Decent room. No movies on TV. Nice bar and the food looked good| lots of people eating at the bar. Breakfast quite expensive unless you get the all inclusive deal. We left our car there for the week at a reasonable price.,1
"Great location near the airport.  Maybe it's just NJ (and I'm from the Midwest)| but food and beverage prices were ""high"" in my humble opinion - $15 for a margarita| $23 for the breakfast buffet...",1
"It is a nice hotel to ""pass by""| but nothing to do around. No real other option for eating other than the (good but pricey) in house restaurant/pub.",1
The only things I can said is the parking is a nightmare. Is hard to found parking.,1
This property is very outdated and the heating system sucks!,0
Super close location to Liberty EWR.  Friendly staff and clean room.  Room temperature difficult to control.  Heater does not work.,1
Clean| large and comfortable room.  Quiet. Good restaurant.,1
Close to airport so much less of a hassle.Restaurant on premises  is a plus .,1
This hotel is close to airport and complementary shuttle.,1
Clean| modern and comfy bed. I highly recommend for Newark Airport stay.,1
Do not like paying for parking. Easy access to airport. Nice property| exceptionally clean. Especially appreciate front desk staff who were very friendly and more than efficient.,1
The hotel was very nice.  I found the employees lacking in friendliness.We arrived early morning and our room was ready which was very nice.The check in person was not very friendly and other employees when we asked questions were not very friendly but I would stay there again.  The beds were very comfortable.,1
Missed flight due to weather - stayed at airport.  Free airport shuttle. Great location - and restaurant (very convenient).,1
The only property in the area that charges excruciating parking rates for guests.  All other hotels in the area do not charge for parking except the Hilton. Terrible location. No quality restaurants in the area. No  microwave oven and the refrigerator was actually a freezer because everything we put in it froze. This property should not be wearing the Hilton name.,0
Only the shuttle experience was unpleasant... for one| not enough seats on the shuttle bus on the way TO the hotel (after a very long wait to begin with)| and not enough seats on the shuttle bus on the way back to the airport the next morning. Also| a completely chaotic shuttle boarding system even at the hotel in the morning (where it could easily be properly organized)... if you carry luggage| you are less likely to make it on the bus because those with small items can enter the bus even if you arrived at the stop first and lined up to put your luggage in the back of the shuttle.,1
Easy and quick from airport. great shuttle service. No business center. Not close to office supply store to get printing done.  Not close to outside restaurants.,1
Didn't like the fact that there was a parking fee!,1
Shower had hair all over in it and the rims of the toilet so the maids need to clean better other than that everything was fine!,1
Stay was good trying to contact your desk from outside facility to inquire about shuttle was brutal.,1
Hotel lobby was warm and festive for the holiday| and staff was very friendly. Room was clean and quite comfortable. Enjoyable stay overall.,1
I never made it to the hotel as I missed my connecting flight and I was unable to get a refund or credit on the room so I am totally disappointed and wasted a significant amount of money.,0
Hotel showing signs of age. Service in restaurant slow and haphazard,1
Everything was great. Friendly staff,1
Not enough parking.  On-site car rental has limited hours.Shuttle to and from Newark Airport was convenient.Rooms were clean.,1
Lovely hotel| great food at the restaurant. The staff were wonderfully helpful and cheerful! We are coming back in April and will definitely stay here again.,1
Cleanliness and service. The room was pretty big| the bathroom spacious. People behind the desk were friendly. They have a very efficient airport pickup system every twenty minutes.  I would  definitely recommend Airport Hilton and stay there in future,1
We stayed the night before a flight.  Shuttle service to and from the airport was as advertised (timing).  Reception was polite and professional—even gave us a late checkout (sore subject as I called in a couple weeks in advance to arrange a late checkout and it was not noted in the reservation).  One of my pet peeves are hotels that use a flat sheet on the bottom (if you roll around like I do it inevitably comes untucked).  Yes| they use the flat sheets on the bottom.  The corridors are a wee bit beaten up.  But the hotel was clean.  Oh| and the in room coffee was actually rather good.  So the ultimate question-would I stay there again?  Probably.  If I get a good deal| yes.  If not no...,1
Booked a King Bedroom and once I arrived I was told that the King Rooms were sold out and given away on a first come first serve basis. I was upset as I had reserved and pre-paid for a King Bedroom and instead was given two double beds. I know it seems petty to some| but since I had specifically requested this room and then was told they were “first come first serve” I was unhappy. I don't think hotels should oversell their room types so people don't get what they reserved. To top it off| the front desk associate kept talking up the double room like it was their top tier room and it was just very fake.,0
Our stay at The Hilton Newark Airport was outstanding for my wife and I 15 year anniversary! Percy| who drives one of the vans there| is awesome and customer friendly!,1
the lobby is nice with a Bar and restaurant until midnight. They have Starbucks too. The room was ok. The toilet clogged twice but they came to fix it quickly.,1
Jamillah| who worked the front desk| was incredibly kind and helpful! She went above and beyond to make sure we had a good trip. Hotel was clean and well maintained. The shuttle staff was friendly too. We used the shuttle a lot. No complaints here!!!,1
