review,date,rating,name, address
Great view!  Enjoyable stay in a very pleasant room. Everyone was very helpful.,Aug 19| 2021,5,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
Really clean room| central location for cabs| food and Times Square site seeing,Aug 18| 2021,5,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
desk was great| breakfast was good.didn't clean our room unless we requested| had to go get clean towels daily,Aug 18| 2021,4,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
Employees super friendly and helpful,Aug 18| 2021,5,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
,Aug 17| 2021,4,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
The breakfast staff was excellent and accomodating. The staff was helpful with feedback.,Aug 16| 2021,5,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
Excellent location. Clean room. Good breakfast.,Aug 16| 2021,5,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
Hotel was clean and staff was friendly. Didn’t like the fact that we had to park 2 streets over in a parking garage. No valet parking??? May be a Covid restriction. Otherwise we had a great stay in NYC.,Aug 16| 2021,4,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
Not bad for the amount paid to stay| breakfast was a pleasant experience with a super friendly staff| Fatima was great!,Aug 15| 2021,3,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
Bear the subways and port authority. Breakfast is back. Secured,Aug 13| 2021,5,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
,Aug 13| 2021,2,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
We were very happy with our recent stay! Our room was a good size and clean upon arrival| the bed was very comfortable| and there was always a restock of towels in the hallway to grab at your convenience (housekeeping must be requested due to Covid). The continental breakfast in the morning was a little crowded| but decent. Besides the rude front desk assistance upon check-in| the rest of our front desk experiences throughout our 4 days was much better. I like that you needed your key card to open up the front doors of the hotel and to activate the elevator| which were added levels of security that made me feel safe. Central location to almost everything we did| shops| restaurants| etc. We could either walk to most of our destinations or hop on the subway from the entrance down the street. Overall| we were very satisfied with this hotel and would stay again in the future!,Aug 12| 2021,5,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
We had few good items missing in the room when we arrived but the Evening team was excellent in helping us to get what we need. Two days after staying at the hotel| Management responded to our comment earlier and dropped off most and even extra items we needed since the day team ignored our request the first time. Kitchen team gave excellent service during breakfast.Location of the hotel is great.,Aug 12| 2021,4,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
The hotel rooms are ok and clean| however the customer service staff particularly Chris was not not polite and not attentive to the customer requests| the management should take a preferrential attention and remind their staff to treat the customers rights.,Aug 11| 2021,3,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
,Aug 10| 2021,5,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
Very close to Time Square! Nice parking nearby! Wonderful breakfast!!,Aug 9| 2021,5,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
We chose this hotel based on the fact that I stay at Hilton hotels exclusively for work. The hotel is in a great location. However we didn't have our room cleaned for 2 of the 3 nights we were staying at the location. I had to go to the front desk and ask to have the room cleaned and for fresh towels. The front desk staff was Rachelle (sp) was often busy and or dismissive when I'd interact with her. Other staff members were wonderful however I'll spend a little more and stay at a nicer property next time I'm in Manhattan.,Aug 9| 2021,3,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
All the stuff of the hotel were very friendly specially Fatima the lady that works at breakfast buffet was super friendly and greets everyone that walks in.,Aug 7| 2021,5,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
Hotel was perfect! We stayed on the 28th floor with a city view.  Location was ideal to Times Square| subway and restaurants.  We loved our stay!,Aug 6| 2021,5,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
,Aug 6| 2021,4,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
,Aug 13| 2021,2,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
We were very happy with our recent stay! Our room was a good size and clean upon arrival| the bed was very comfortable| and there was always a restock of towels in the hallway to grab at your convenience (housekeeping must be requested due to Covid). The continental breakfast in the morning was a little crowded| but decent. Besides the rude front desk assistance upon check-in| the rest of our front desk experiences throughout our 4 days was much better. I like that you needed your key card to open up the front doors of the hotel and to activate the elevator| which were added levels of security that made me feel safe. Central location to almost everything we did| shops| restaurants| etc. We could either walk to most of our destinations or hop on the subway from the entrance down the street. Overall| we were very satisfied with this hotel and would stay again in the future!,Aug 12| 2021,5,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
We had few good items missing in the room when we arrived but the Evening team was excellent in helping us to get what we need. Two days after staying at the hotel| Management responded to our comment earlier and dropped off most and even extra items we needed since the day team ignored our request the first time. Kitchen team gave excellent service during breakfast.Location of the hotel is great.,Aug 12| 2021,4,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
The hotel rooms are ok and clean| however the customer service staff particularly Chris was not not polite and not attentive to the customer requests| the management should take a preferrential attention and remind their staff to treat the customers rights.,Aug 11| 2021,3,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
,Aug 10| 2021,5,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
Very close to Time Square! Nice parking nearby! Wonderful breakfast!!,Aug 9| 2021,5,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
We chose this hotel based on the fact that I stay at Hilton hotels exclusively for work. The hotel is in a great location. However we didn't have our room cleaned for 2 of the 3 nights we were staying at the location. I had to go to the front desk and ask to have the room cleaned and for fresh towels. The front desk staff was Rachelle (sp) was often busy and or dismissive when I'd interact with her. Other staff members were wonderful however I'll spend a little more and stay at a nicer property next time I'm in Manhattan.,Aug 9| 2021,3,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
All the stuff of the hotel were very friendly specially Fatima the lady that works at breakfast buffet was super friendly and greets everyone that walks in.,Aug 7| 2021,5,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
Hotel was perfect! We stayed on the 28th floor with a city view.  Location was ideal to Times Square| subway and restaurants.  We loved our stay!,Aug 6| 2021,5,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
,Aug 6| 2021,4,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
We stayed here for almost a week and had two rooms. Being close to Times Square on the more affordable scale than the big ritzy plaza hotels| it fit the bill. The rooms were good| but even with the windows closed there was more street noise than expected| especially the jackhammer taking out part of the sidewalk across the street behind Aladdin at 2am (not the hotels fault). I'm not sure where the fire department was from the hotel| but sirens were every hour or twice an hour| maybe something I should have expected more of in NYC| but earplugs would have helped with nightly noise. The shower size was good and the hot water never failed. All the towels and linens were white and freshly washed. We used the guest laundry in the basement and that worked out well. They do not sell laundry soap and they should sell the one load boxes as a matter of convenience. The hotel has been renovated| but you could see they struggle to keep up with the cleanliness. They have a lot of rooms| a lot of guests and not a lot of employees. At times the counter is only staffed by one person| making check-in or out difficult. We wanted a receipt at checkout| but one person and ten guests in line is discouraging. Getting our rooms cleaned during the week was not an option. They were only doing checkouts. We were able to get fresh towels| sheets| pillows| keys or whatever we needed| but we had to clean our own room| manage our own garbage and did our best to live up to the low footprint green ideas.,Jul 30| 2021,3,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
,Jul 29| 2021,5,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
It was nice,Jul 27| 2021,5,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
O,Jul 27| 2021,4,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
Clean and convenient!,Jul 27| 2021,5,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
,Jul 26| 2021,4,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
Good breakfast,Jul 26| 2021,4,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
Very well located and near a metro station,Jul 25| 2021,4,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
Exceent location| clean and modern. Only thing not that great was the wifi,Jul 23| 2021,4,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
Fun,Jul 22| 2021,4,Hampton Inn Manhattan/Times Square Central,220 West 41st St.| New York| NY| 10036
