review,date,rating,name, address
My normal go-to hotel wasn't available| so I chose this hotel and am never going back!  From the cleanliness of the hotel to the service from the staff| it was nothing short of spectacular!  I will be back!,Aug 15| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
The room was clean and ready quickly,Aug 15| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Good location and quiet,Aug 14| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Nice five star hotel;  big rooms; day ligh used nicely  - well maintained. Hotel location is good; facilies are goodJust we did not like "cleaning on demand" for house-keeping ( I guess due to covid issues) We are glad for the saty overall. Good price / performance.,Aug 11| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Staff was great.,Aug 11| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
The room the inner structure very classy.,Aug 10| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Jul 30| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Very clean,Jul 28| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
The sink was stopped up and the air was warm. It was muggy in my room the whole weekend. I did report it. They said lots of visitors said the same. But didn’t do anything or offer anything to accommodate me.,Jul 26| 2021,3,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
We loved the hotel and the service. Great front desk staff. They were able to help us with directions and additional information.,Jul 25| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Friendly staff and quiet room| dog was happy.,Jul 23| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Jul 20| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Hotel was very nice| staff was wonderful. Expensive to park 55 a day. Very clean| good shampoo| conditioner and gel (Beekman Brothers).Only neg is bed had heavy covers. So you cycled between being too hot with blankets on and too cold with them off.,Jul 20| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Very nice staff and very pretty place to stay. Restaurants are very good as well!,Jul 18| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
the room was very clean and they beds were very comfortable,Jul 16| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Nice hotel,Jul 13| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
It was wonderful stay Hilton Capital Hill. Also they are very friendly and good service. Thank you,Jul 12| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
The restaurant/bar downstairs.,Jul 8| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Very comfy and clean room! Check in was easy. Valet was exceptional and quick!,Jul 8| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Jul 7| 2021,3,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Friendly staff and quiet room| dog was happy.,Jul 23| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Jul 20| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Hotel was very nice| staff was wonderful. Expensive to park 55 a day. Very clean| good shampoo| conditioner and gel (Beekman Brothers).Only neg is bed had heavy covers. So you cycled between being too hot with blankets on and too cold with them off.,Jul 20| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Very nice staff and very pretty place to stay. Restaurants are very good as well!,Jul 18| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
the room was very clean and they beds were very comfortable,Jul 16| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Nice hotel,Jul 13| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
It was wonderful stay Hilton Capital Hill. Also they are very friendly and good service. Thank you,Jul 12| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
The restaurant/bar downstairs.,Jul 8| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Very comfy and clean room! Check in was easy. Valet was exceptional and quick!,Jul 8| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Jul 7| 2021,3,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
The Hotel was very comfortable with a very professional attentive staff.,Jun 28| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Amazing!!!,Jun 28| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Jun 28| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Will be back soon,Jun 22| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Jun 20| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
It is close to the Capital and it easy and safe to walk around,Jun 19| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Excellent,Jun 15| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Very clean and modern. Surprised about the neighborhood but still safe and in the city,Jun 14| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Jun 6| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
We had a great view of the Capitol and the Metro was just a few blocks away. Super convenient.,Jun 3| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
The Hotel was very comfortable with a very professional attentive staff.,Jun 28| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Amazing!!!,Jun 28| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Jun 28| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Will be back soon,Jun 22| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Jun 20| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
It is close to the Capital and it easy and safe to walk around,Jun 19| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Excellent,Jun 15| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Very clean and modern. Surprised about the neighborhood but still safe and in the city,Jun 14| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Jun 6| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
